time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.220021,-0.004488,-0.012720,0.004158
2.225021,nan,-0.016023,0.004030
2.230021,0.175800,0.017511,0.003885
2.235020,nan,0.014978,0.003725
2.240020,-0.108618,-0.008545,0.003556
2.245020,nan,-0.008948,0.003380
2.250019,0.055895,0.003091,0.003205
2.255019,nan,0.003028,0.003035
2.260019,-0.142862,-0.024884,0.002870
2.265018,nan,-0.022292,0.002712
2.270018,0.032080,-0.014420,0.002564
2.275017,nan,-0.013046,0.002423
2.280017,0.088310,0.006401,0.002283
2.285017,nan,0.004199,0.002140
2.290016,-0.108430,-0.014094,0.002000
2.295016,nan,-0.014851,0.001863
2.300016,0.089989,0.004209,0.001730
2.305015,nan,0.005018,0.001601
2.310015,-0.089098,-0.012194,0.001470
2.315015,nan,-0.010211,0.001341
2.320014,0.124684,0.014719,0.001220
2.325014,nan,0.017990,0.001106
2.330014,0.074597,0.030781,0.000996
2.335013,nan,0.031918,0.000886
2.340013,0.009456,0.028418,0.000774
2.345012,nan,0.030290,0.000663
2.350012,-0.106160,0.004241,0.000554
2.355012,nan,0.002170,0.000448
2.360011,0.000565,0.003318,0.000350
2.365011,nan,0.000825,0.000263
2.370011,0.032888,0.007012,0.000182
2.375010,nan,0.006248,0.000105
2.380010,0.125968,0.027891,0.000029
2.385010,nan,0.027217,-0.000042
2.390009,-0.243361,-0.018419,-0.000107
2.395009,nan,-0.018491,-0.000165
2.400008,0.109673,0.005981,-0.000215
2.405008,nan,0.004165,-0.000258
2.410008,-0.037058,-0.002976,-0.000297
2.415007,nan,-0.003030,-0.000336
2.420007,-0.158743,-0.029015,-0.000372
2.425007,nan,-0.030908,-0.000406
2.430006,-0.042032,-0.032245,-0.000442
2.435006,nan,-0.032013,-0.000481
2.440006,-0.192382,-0.059800,-0.000525
2.445005,nan,-0.063368,-0.000569
2.450005,-0.064528,-0.065390,-0.000611
2.455004,nan,-0.064745,-0.000650
2.460004,0.168813,-0.022353,-0.000687
2.465004,nan,-0.020398,-0.000723
2.470003,-0.013374,-0.021093,-0.000760
2.475003,nan,-0.021576,-0.000800
2.480003,0.072583,-0.004421,-0.000841
2.485002,nan,-0.003822,-0.000879
2.490002,-0.160045,-0.033059,-0.000916
2.495002,nan,-0.034372,-0.000952
2.500001,0.094577,-0.012562,-0.000993
2.505001,nan,-0.012015,-0.001041
2.510000,0.055802,0.000974,-0.001090
2.515000,nan,0.001807,-0.001135
2.520000,0.042361,0.008176,-0.001172
2.524999,nan,0.007448,-0.001202
2.529999,-0.053148,-0.002909,-0.001228
2.534999,nan,-0.002790,-0.001251
2.539998,0.034143,0.004450,-0.001271
2.544998,nan,0.004137,-0.001291
2.549998,0.172946,0.034023,-0.001312
2.554997,nan,0.032933,-0.001332
