MsgID.LOCAL_POSITION,81.8210000,180.2260742,53.9048271,-3.0428157
MsgID.LOCAL_VELOCITY,81.8210000,-0.0328080,-0.0149467,-0.0186677
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968471,37.7941020,3.0330000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,0.0000000
MsgID.LOCAL_POSITION,82.0710000,180.1886444,53.8788223,-3.0329318
MsgID.LOCAL_VELOCITY,82.0710000,-0.0155998,-0.0130559,0.0099930
MsgID.GLOBAL_POSITION,0.0000000,-122.3968474,37.7941032,3.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0600000
MsgID.LOCAL_POSITION,82.3210000,180.3180847,53.8443184,-3.0406351
MsgID.LOCAL_VELOCITY,82.3210000,0.0027612,-0.0065141,-0.0614511
MsgID.GLOBAL_POSITION,0.0000000,-122.3968489,37.7941036,3.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0200000
MsgID.LOCAL_POSITION,82.5710000,180.3584290,53.7232819,-3.0497437
MsgID.LOCAL_VELOCITY,82.5710000,-0.0018483,0.0008021,0.0371110
MsgID.GLOBAL_POSITION,0.0000000,-122.3968476,37.7941036,3.0450000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,82.8210000,180.3596039,53.8492699,-3.0454664
MsgID.LOCAL_VELOCITY,82.8210000,-0.0121653,0.0101101,0.0362457
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968478,37.7941039,3.0440000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0100000,0.0700000
MsgID.LOCAL_POSITION,83.0710000,180.3926697,53.8004227,-3.0439630
MsgID.LOCAL_VELOCITY,83.0710000,-0.0166752,0.0097663,0.0680878
MsgID.GLOBAL_POSITION,0.0000000,-122.3968482,37.7941031,3.0450000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.0300000
MsgID.LOCAL_POSITION,83.3220000,180.2701721,53.7990150,-3.0465896
MsgID.LOCAL_VELOCITY,83.3220000,-0.0183426,0.0104221,0.0298918
MsgID.GLOBAL_POSITION,0.0000000,-122.3968472,37.7941025,3.0470000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0100000,0.0500000
MsgID.LOCAL_POSITION,83.5720000,180.2573395,53.8808670,-3.0475073
MsgID.LOCAL_VELOCITY,83.5720000,-0.0112703,0.0132594,0.0693044
MsgID.GLOBAL_POSITION,0.0000000,-122.3968470,37.7941038,3.0470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0200000
MsgID.LOCAL_POSITION,83.8220000,180.3742218,53.8871231,-3.0482888
MsgID.LOCAL_VELOCITY,83.8220000,-0.0040964,0.0070829,0.0279441
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968477,37.7941029,3.0560000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,84.0720000,180.2706299,53.8060722,-3.0577967
MsgID.LOCAL_VELOCITY,84.0720000,-0.0111099,0.0040277,0.0115051
MsgID.GLOBAL_POSITION,0.0000000,-122.3968482,37.7941033,3.0570000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.0900000
MsgID.LOCAL_POSITION,84.3220000,180.3264008,53.8088303,-3.0568335
MsgID.LOCAL_VELOCITY,84.3220000,-0.0096446,0.0087115,0.0875934
MsgID.GLOBAL_POSITION,0.0000000,-122.3968457,37.7941035,3.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,0.0700000
MsgID.LOCAL_POSITION,84.5720000,180.3419647,54.0172386,-3.0501795
MsgID.LOCAL_VELOCITY,84.5720000,-0.0065904,0.0105668,0.0664787
MsgID.GLOBAL_POSITION,0.0000000,-122.3968468,37.7941027,3.0540000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.0500000
MsgID.LOCAL_POSITION,84.8230000,180.2333984,53.8926277,-3.0561259
MsgID.LOCAL_VELOCITY,84.8230000,-0.0103029,-0.0043849,0.0324377
MsgID.STATE,0.0000000,True,True,1
