MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,168.1380000,207.3949432,-91.1038132,-0.0437913
MsgID.LOCAL_VELOCITY,168.1380000,0.0000757,-0.0002184,0.0000084
MsgID.GLOBAL_POSITION,0.0000000,-122.3984786,37.7943477,0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,168.3880000,207.4805298,-91.1503906,-0.0430562
MsgID.LOCAL_VELOCITY,168.3880000,0.0000775,-0.0002147,0.0000163
MsgID.GLOBAL_POSITION,0.0000000,-122.3984805,37.7943478,0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,168.6410000,207.4766693,-91.3085098,-0.0445070
MsgID.LOCAL_VELOCITY,168.6410000,0.0000109,0.0007595,-0.0000656
MsgID.GLOBAL_POSITION,0.0000000,-122.3984791,37.7943463,0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,168.8910000,207.3181458,-91.1863632,-0.0447465
MsgID.LOCAL_VELOCITY,168.8910000,0.0000712,-0.0002102,0.0000062
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984806,37.7943468,0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.1410000,207.3827515,-91.3252106,-0.0423921
MsgID.LOCAL_VELOCITY,169.1410000,0.0000608,-0.0002199,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3984802,37.7943474,0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.3910000,207.4420776,-91.2830429,-0.0404605
MsgID.LOCAL_VELOCITY,169.3910000,0.0000685,-0.0001958,0.0000268
MsgID.GLOBAL_POSITION,0.0000000,-122.3984783,37.7943475,0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.6410000,207.4580994,-91.1146240,-0.0343403
MsgID.LOCAL_VELOCITY,169.6410000,0.0000739,-0.0002173,0.0000056
MsgID.GLOBAL_POSITION,0.0000000,-122.3984791,37.7943475,0.0290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,169.8910000,207.4587250,-91.1849976,-0.0290801
MsgID.LOCAL_VELOCITY,169.8910000,0.0000514,-0.0002184,0.0000164
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984779,37.7943475,0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,170.1410000,207.4580994,-91.0664902,-0.0259699
MsgID.LOCAL_VELOCITY,170.1410000,0.0000513,-0.0002155,0.0000229
MsgID.GLOBAL_POSITION,0.0000000,-122.3984781,37.7943475,0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,170.3910000,207.4580841,-91.1062241,-0.0215207
MsgID.LOCAL_VELOCITY,170.3910000,0.0000447,-0.0001485,0.0000158
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943476,0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,170.6410000,207.4621277,-91.1929550,-0.0137348
MsgID.LOCAL_VELOCITY,170.6410000,0.0000687,-0.0002265,0.0000082
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943478,0.0020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,170.8910000,207.4832001,-91.1938553,-0.0013925
MsgID.LOCAL_VELOCITY,170.8910000,0.0000493,-0.0002239,0.0000075
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984796,37.7943477,-0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,171.1410000,207.4820404,-91.2301865,0.0157650
MsgID.LOCAL_VELOCITY,171.1410000,0.0000171,-0.0002485,0.0000377
MsgID.GLOBAL_POSITION,0.0000000,-122.3984783,37.7943489,-0.0350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,171.3920000,207.6080170,-91.1008301,0.0365905
MsgID.LOCAL_VELOCITY,171.3920000,0.0000331,-0.0002372,-0.0000106
MsgID.GLOBAL_POSITION,0.0000000,-122.3984771,37.7943481,-0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,171.6420000,207.5120697,-91.0123367,0.0587750
MsgID.LOCAL_VELOCITY,171.6420000,0.0000059,-0.0002585,-0.0000004
MsgID.GLOBAL_POSITION,0.0000000,-122.3984783,37.7943475,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,171.8920000,207.4580994,-91.1197205,0.0788883
MsgID.LOCAL_VELOCITY,171.8920000,-0.0000947,-0.0000849,-0.0288667
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984797,37.7943476,-0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0800000
MsgID.LOCAL_POSITION,172.1420000,207.4628448,-91.2433167,0.0812340
MsgID.LOCAL_VELOCITY,172.1420000,-0.0089675,0.0088642,-0.0941475
MsgID.GLOBAL_POSITION,0.0000000,-122.3984812,37.7943486,-0.0660000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0200000,-0.0600000
MsgID.LOCAL_POSITION,172.3920000,207.5825653,-91.3708267,0.0664658
MsgID.LOCAL_VELOCITY,172.3920000,-0.0182410,0.0271348,-0.0672873
MsgID.GLOBAL_POSITION,0.0000000,-122.3984805,37.7943483,-0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0400000,-0.0300000
MsgID.LOCAL_POSITION,172.6420000,207.5399933,-91.3094406,0.0515918
MsgID.LOCAL_VELOCITY,172.6420000,-0.0296435,0.0499754,-0.0421205
MsgID.GLOBAL_POSITION,0.0000000,-122.3984804,37.7943476,-0.0430000
